,image,image height,image width,image area,damage_labels,red value,green value,blue value,sobel edges avg,sobel edges max,sobel edges min,binary edges avg,binary edges median,bianry edges max,binary edges min
0,0,144,195,28080,0,110.40904558404559,131.51339031339032,126.10381054131054,0.048752432165516384,0.41139822052416786,0.00015487059126394884,16.01317663817664,15.0,25.0,0.0
1,1,48,51,2448,0,70.3999183006536,89.84477124183006,87.3345588235294,0.046197183215700745,0.468680938340842,0.0006654653319560662,15.777369281045752,17.0,25.0,0.0
2,2,104,140,14560,0,97.31916208791209,122.64237637362638,111.62218406593406,0.04306366157891147,0.46849970018320314,0.00020167026505977349,15.734958791208792,15.0,25.0,0.0
3,3,128,138,17664,0,96.5718410326087,113.39504076086956,108.01851222826087,0.044346572691208105,0.3853178793017802,7.078438161963016e-05,15.904664855072463,16.0,25.0,0.0
4,4,65,96,6240,0,76.58253205128206,103.57387820512821,99.05673076923077,0.037459423352363734,0.3759313932185595,5.5459355387035545e-06,16.025801282051283,16.0,25.0,0.0
5,5,153,150,22950,0,101.48213507625272,122.6919825708061,123.27272331154684,0.041789833293640985,0.3049725384633541,7.055588855807016e-05,16.29930283224401,17.0,25.0,0.0
6,6,16,16,256,0,89.578125,107.5703125,106.6015625,0.03000661120751265,0.09105920121420426,0.0004276280551558003,13.1171875,11.5,25.0,0.0
7,7,176,172,30272,0,97.32201374207189,119.87876585623678,114.6609738372093,0.050523972342718215,0.36250449800294404,0.00010748684459441418,15.766979386892178,15.0,25.0,0.0
8,8,137,130,17810,0,87.66900617630544,110.66417742841101,103.66305446378439,0.04175256952737773,0.3053769620662835,0.00019993097617074595,16.134362717574398,16.0,25.0,0.0
9,9,164,131,21484,0,79.81120834109105,100.51596536957736,94.06646806926085,0.02949743315358999,0.3395915030496518,0.00014754641389138574,15.801014708620368,15.0,25.0,0.0
10,10,17,29,493,0,89.20689655172414,102.20689655172414,101.32454361054766,0.07158539047678068,0.2688971057131505,0.003462174159902276,14.369168356997971,14.0,25.0,0.0
11,11,136,98,13328,0,126.98244297719087,138.98364345738295,130.57608043217286,0.04990252300064961,0.3969253690632747,1.3877787807814457e-17,16.143532412965186,16.0,25.0,0.0
12,12,59,40,2360,3,98.36906779661017,118.4593220338983,118.48813559322033,0.04643483515552348,0.17691554341907886,0.0006955618422772204,15.413135593220339,16.0,25.0,0.0
13,13,108,361,38988,0,105.51395301118293,117.10708423104545,109.96901610752026,0.03935934259153805,0.35233426087187586,9.813077866773593e-18,17.29621934954345,22.0,25.0,0.0
14,14,34,29,986,3,99.36612576064908,112.52535496957404,107.42799188640974,0.03652923626576579,0.1205869991692183,0.00036017042027581734,15.760649087221095,17.5,25.0,0.0
15,15,48,51,2448,0,99.37704248366013,123.11601307189542,123.8578431372549,0.06232453917696223,0.5385698917283601,0.0004421417001008968,15.90359477124183,18.0,25.0,0.0
16,16,78,61,4758,0,83.25283732660782,107.41950399327449,104.00567465321564,0.03830044847706153,0.2805011836741496,0.0004907984730004756,15.518284993694829,15.0,25.0,0.0
17,17,166,201,33366,0,65.83141521309118,87.25672840616195,76.9149433555116,0.030755766208416187,0.3962777117705067,0.00015385027073573065,16.094557333812862,17.0,25.0,0.0
18,18,79,113,8927,0,89.00515290691162,111.31813599193458,107.28934692505881,0.04475683958380367,0.35675410479963365,0.00020706033217658695,15.6353758261454,15.0,25.0,0.0
19,19,32,38,1216,0,76.34210526315789,100.71792763157895,99.1126644736842,0.0353853295922659,0.2892191774981039,0.0003160578132719832,14.395559210526315,13.0,25.0,0.0
20,20,150,135,20250,0,100.8716049382716,122.21703703703703,115.66444444444444,0.04058584632234758,0.362142842968984,9.562769421864875e-05,15.942024691358025,16.0,25.0,0.0
21,21,92,127,11684,0,100.16698048613489,120.77473467990414,117.72458062307429,0.04301958926609439,0.3767356580664818,1.9626155733547187e-17,15.703440602533378,15.0,25.0,0.0
22,22,114,62,7068,0,94.81126202603282,115.9588285229202,103.3518675721562,0.056798590193100955,0.4581741664610143,0.00019204608651674613,15.247877758913413,14.0,25.0,0.0
23,23,123,121,14883,0,92.82133978364577,111.98723375663509,105.67694685211315,0.048900173805589676,0.6099897546695174,0.0,16.118524491030033,16.0,25.0,0.0
24,24,86,121,10406,0,100.33009802037286,117.53373054007304,111.94801076302133,0.05255238124692328,0.45597111775714533,0.0,16.028252931001344,16.0,25.0,0.0
25,25,139,62,8618,0,102.71988860524483,125.63877929914133,129.36388953353446,0.052237258715209185,0.40882867744086737,0.0001497003607236142,16.12740775121838,17.0,25.0,0.0
26,26,78,70,5460,0,77.94505494505495,105.31227106227107,99.16813186813187,0.032242280174842715,0.19049836212225307,0.000211708280427418,15.877655677655678,17.0,25.0,0.0
27,27,21,107,2247,0,73.3382287494437,99.74365821094793,112.26435246995995,0.0403581754160297,0.19884665193204246,0.0005957839991351945,15.113484646194927,14.0,25.0,0.0
28,28,151,116,17516,0,105.43594427951587,129.36058460835807,122.76398721169217,0.04359962943771114,0.3261864008331365,0.00015648290408064265,15.744576387303038,15.0,25.0,0.0
29,29,136,128,17408,0,108.7548828125,133.27757352941177,136.7068589154412,0.062080627987792625,0.4810058395334636,0.00021851417095142194,15.412511488970589,14.0,25.0,0.0
30,30,49,29,1421,3,86.926812104152,105.70584095707248,104.29697396199859,0.04033671537240097,0.2064028171935277,0.0005118929390090218,16.16819141449683,19.0,25.0,0.0
31,31,31,39,1209,0,81.56575682382135,103.08436724565757,96.8701406120761,0.044142228395738246,0.2630472247056524,0.00038932467481800814,15.80066170388751,18.0,25.0,0.0
32,32,111,82,9102,0,59.62711491979785,86.18336629312239,71.61689738519007,0.044764155228164224,0.5145674380971604,0.00019731424281857894,16.17996044825313,18.0,25.0,0.0
33,33,38,40,1520,0,98.8046052631579,115.2375,115.14407894736843,0.049591809819145564,0.2758380616537036,0.00019993097617079501,15.353947368421053,16.0,25.0,0.0
34,34,82,131,10742,0,65.78579407931484,88.64019735617204,81.49059765406814,0.04284083427654102,0.4779187055334613,0.0,15.65127536771551,16.0,25.0,0.0
35,35,102,105,10710,0,103.70037348272642,127.34817927170869,122.03295985060691,0.05166860199665874,0.4044285727861735,0.00014970036072359542,15.667320261437908,15.0,25.0,0.0
36,36,52,51,2652,0,78.63612368024133,102.6003016591252,102.87066365007541,0.04169836712287985,0.21302929981762192,0.0005194703665710488,15.012066365007541,14.0,25.0,0.0
37,37,168,189,31752,0,103.52695893172084,125.26886495338876,126.55309901738474,0.038963548176549005,0.3020455581037466,0.00015083033031479574,16.127362055933485,16.0,25.0,0.0
38,38,59,60,3540,3,93.15508474576271,113.39943502824859,112.90593220338982,0.0590109183604238,0.4080824974355966,0.0006547306412644957,16.336158192090394,19.0,25.0,0.0
39,39,137,126,17262,0,103.56482446993395,126.76619163480477,129.02803846599468,0.042923635515942034,0.3676151657171452,0.00024969879971789577,16.296605260108908,17.0,25.0,0.0
40,40,71,126,8946,0,101.93293091884641,127.76939414263357,119.95741113346747,0.04041735561097651,0.3442052202275153,0.00020279129162389795,15.95651687905209,16.0,25.0,0.0
